part_id,archetype,material,features,tolerance,batch_size
PART_001,Precision Dowel Pin,Titanium,Chamfer;Face,0.01mm,2500
PART_002,Boss with Spotface,Steel,Boss;Counterbore;Hole,0.02mm,250
PART_003,Threaded Shaft with Relief Groove,Steel,Thread;Fillet;Step,0.01mm,100
PART_004,Splined Shaft,Steel,Spline;Step;Fillet;Chamfer,0.005mm,50
PART_005,Precision Dowel Pin,Steel,Chamfer;Face,0.01mm,1000
PART_006,Tapered Sleeve,Steel,Taper;Hole;Chamfer,0.02mm,50
PART_007,Keyed Shaft,Aluminum,Step;Keyway;Chamfer;Face,0.02mm,50
PART_008,Tapered Sleeve,Brass,Taper;Hole;Chamfer,0.02mm,100
PART_009,Stepped Shaft with Retaining Groove,Steel,Step;Groove;Fillet;Chamfer,0.02mm,50
PART_010,Flanged Bushing,Aluminum,Hole;Face;Chamfer;Counterbore,0.05mm,100
PART_011,Gear Blank,Steel,Gear_Teeth;Hole;Keyway;Face,0.005mm,10
PART_012,Mounting Bracket,Steel,Slot;Hole;Chamfer;Face,0.1mm,500
PART_013,Boss with Spotface,Steel,Boss;Counterbore;Hole,0.02mm,250
PART_014,Gear Blank,Steel,Gear_Teeth;Hole;Keyway;Face,0.005mm,50
PART_015,Mounting Bracket,Aluminum,Slot;Hole;Chamfer;Face,0.5mm,1000
PART_016,Cam Profile Disc,Steel,Contour_3D;Hole;Keyway,0.01mm,50
PART_017,Pocketed Housing,Steel,Pocket;Hole;Counterbore;Chamfer,0.02mm,50
PART_018,Knurled Grip Handle,Aluminum,Knurl;Step;Chamfer;Face,0.05mm,500
PART_019,Cam Profile Disc,Steel,Contour_3D;Hole;Keyway,0.02mm,10
PART_020,Keyed Shaft,Aluminum,Step;Keyway;Chamfer;Face,0.01mm,50
PART_021,Tapered Sleeve,Brass,Taper;Hole;Chamfer,0.02mm,100
PART_022,Precision Dowel Pin,Titanium,Chamfer;Face,0.01mm,2500
PART_023,Hex Bolt,Steel,Face;Thread;Chamfer,0.02mm,5000
PART_024,Stepped Shaft with Retaining Groove,Aluminum,Step;Groove;Fillet;Chamfer,0.01mm,100
PART_025,Flanged Bushing,Copper,Hole;Face;Chamfer;Counterbore,0.02mm,250
PART_026,Tapered Sleeve,Aluminum,Taper;Hole;Chamfer,0.02mm,50
PART_027,Hex Bolt,Steel,Face;Thread;Chamfer,0.05mm,2500
PART_028,Boss with Spotface,Cast Iron,Boss;Counterbore;Hole,0.02mm,100
PART_029,Knurled Grip Handle,Plastic,Knurl;Step;Chamfer;Face,0.05mm,500
PART_030,Sealed Housing Cover,Steel,Groove;Face;Hole;Chamfer,0.05mm,500
PART_031,Hex Bolt,Brass,Face;Thread;Chamfer,0.02mm,500
PART_032,V-Belt Pulley,Steel,Groove;Hole;Keyway;Face,0.02mm,250
PART_033,Flange Plate,Aluminum,Hole;Counterbore;Countersink;Chamfer;Face,0.1mm,250
PART_034,Engraved ID Plate,Aluminum,Engraved_Mark;Face;Hole;Chamfer,0.5mm,50
PART_035,V-Belt Pulley,Aluminum,Groove;Hole;Keyway;Face,0.02mm,100
PART_036,Cam Profile Disc,Steel,Contour_3D;Hole;Keyway,0.02mm,50
PART_037,Cam Profile Disc,Steel,Contour_3D;Hole;Keyway,0.02mm,10
PART_038,Stepped Shaft with Retaining Groove,Aluminum,Step;Groove;Fillet;Chamfer,0.01mm,100
PART_039,Keyed Shaft,Steel,Step;Keyway;Chamfer;Face,0.01mm,10
PART_040,Threaded Shaft with Relief Groove,Titanium,Thread;Fillet;Step,0.02mm,10
PART_041,Engraved ID Plate,Aluminum,Engraved_Mark;Face;Hole;Chamfer,0.5mm,100
PART_042,Pocketed Housing,Steel,Pocket;Hole;Counterbore;Chamfer,0.05mm,50
PART_043,Splined Shaft,Titanium,Spline;Step;Fillet;Chamfer,0.005mm,50
PART_044,Engraved ID Plate,Brass,Engraved_Mark;Face;Hole;Chamfer,0.5mm,50
PART_045,Sealed Housing Cover,Steel,Groove;Face;Hole;Chamfer,0.1mm,100
PART_046,V-Belt Pulley,Cast Iron,Groove;Hole;Keyway;Face,0.02mm,250
PART_047,Mounting Bracket,Aluminum,Slot;Hole;Chamfer;Face,0.5mm,500
PART_048,Boss with Spotface,Cast Iron,Boss;Counterbore;Hole,0.05mm,250
PART_049,Stepped Shaft with Retaining Groove,Steel,Step;Groove;Fillet;Chamfer,0.02mm,50
PART_050,Splined Shaft,Titanium,Spline;Step;Fillet;Chamfer,0.01mm,50
PART_051,Flange Plate,Steel,Hole;Counterbore;Countersink;Chamfer;Face,0.05mm,250
PART_052,Internally Threaded Bushing,Steel,Thread;Hole;Chamfer;Face,0.02mm,100
PART_053,Hex Bolt,Titanium,Face;Thread;Chamfer,0.05mm,5000
PART_054,Keyed Shaft,Steel,Step;Keyway;Chamfer;Face,0.02mm,10
PART_055,Gear Blank,Cast Iron,Gear_Teeth;Hole;Keyway;Face,0.005mm,50
PART_056,Sealed Housing Cover,Aluminum,Groove;Face;Hole;Chamfer,0.05mm,100
PART_057,Keyed Shaft,Aluminum,Step;Keyway;Chamfer;Face,0.01mm,100
PART_058,Keyed Shaft,Steel,Step;Keyway;Chamfer;Face,0.02mm,100
PART_059,Stepped Shaft with Retaining Groove,Aluminum,Step;Groove;Fillet;Chamfer,0.02mm,100
PART_060,Precision Dowel Pin,Titanium,Chamfer;Face,0.005mm,500
PART_061,Internally Threaded Bushing,Brass,Thread;Hole;Chamfer;Face,0.02mm,250
PART_062,Internally Threaded Bushing,Copper,Thread;Hole;Chamfer;Face,0.02mm,100
PART_063,Flanged Bushing,Copper,Hole;Face;Chamfer;Counterbore,0.05mm,50
PART_064,Sealed Housing Cover,Aluminum,Groove;Face;Hole;Chamfer,0.05mm,100
PART_065,V-Belt Pulley,Aluminum,Groove;Hole;Keyway;Face,0.02mm,250
PART_066,Gear Blank,Cast Iron,Gear_Teeth;Hole;Keyway;Face,0.01mm,10
PART_067,Boss with Spotface,Steel,Boss;Counterbore;Hole,0.02mm,100
PART_068,Gear Blank,Steel,Gear_Teeth;Hole;Keyway;Face,0.005mm,50
PART_069,Engraved ID Plate,Aluminum,Engraved_Mark;Face;Hole;Chamfer,0.1mm,100
PART_070,Precision Dowel Pin,Steel,Chamfer;Face,0.01mm,2500
PART_071,Sealed Housing Cover,Steel,Groove;Face;Hole;Chamfer,0.05mm,250
PART_072,Flanged Bushing,Aluminum,Hole;Face;Chamfer;Counterbore,0.05mm,100
PART_073,Threaded Shaft with Relief Groove,Titanium,Thread;Fillet;Step,0.02mm,100
PART_074,Engraved ID Plate,Brass,Engraved_Mark;Face;Hole;Chamfer,0.1mm,50
PART_075,Hex Bolt,Steel,Face;Thread;Chamfer,0.02mm,500
PART_076,Pocketed Housing,Steel,Pocket;Hole;Counterbore;Chamfer,0.02mm,10
PART_077,Tapered Sleeve,Brass,Taper;Hole;Chamfer,0.05mm,100
PART_078,Flange Plate,Cast Iron,Hole;Counterbore;Countersink;Chamfer;Face,0.1mm,250
